"","Name","Age","Nationality","Overall","Potential","Club","Value","Wage","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Position","Height","Weight","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes"
"3232","V. Ibarbo",28,"Colombia",72,72,"Sagan Tosu",3200000,5000,1,2,4,3,1,187.96,78.9264,65,62,64,65,64,74,67,64,52,73,90,93,78,67,46,80,78,79,86,65,68,35,68,69,66,64,29,41,38,4,4,4,4,4
"3233","F. Boulaya",25,"Algeria",72,75,"FC Metz",3900000,7000,1,1,4,5,1,177.8,69.8544,72,62,42,68,54,80,74,73,64,77,77,76,81,60,73,76,61,61,45,67,61,26,66,70,56,71,21,22,28,6,15,10,12,9
"3234","A. Blin",21,"France",72,80,"Amiens SC",4e+06,13000,1,1,3,3,0,182.88,78.0192,62,52,58,71,48,64,65,46,64,66,59,54,61,73,67,60,66,79,71,55,72,72,62,68,52,68,74,74,73,13,6,8,10,8
"3235","H. Aleesami",26,"Norway",72,72,"Palermo",2600000,3000,0,1,3,3,0,182.88,81.1944,71,55,64,69,40,72,62,61,67,71,81,84,76,71,61,61,57,89,76,60,70,65,60,68,52,70,62,70,67,12,15,11,10,7
"3236","J. Kenny",21,"England",72,79,"Everton",3700000,35000,1,1,3,2,0,175.26,67.1328,69,28,64,65,33,63,56,49,60,60,73,72,68,68,71,50,72,71,63,30,74,76,61,55,53,63,71,74,75,6,13,16,13,15
"3237","D. Livakovi<U+0107>",22,"Croatia",72,80,"Dinamo Zagreb",3400000,1000,1,1,2,1,0,187.96,78.9264,13,12,13,19,10,12,12,11,18,18,21,32,37,66,30,21,44,18,51,9,26,10,11,60,15,25,17,20,21,72,67,69,76,71
"3238","R. Koolwijk",32,"Netherlands",72,72,"Excelsior",1800000,6000,0,1,4,2,0,193.04,76.2048,74,51,68,75,45,66,82,79,73,72,31,32,64,68,36,75,47,70,76,64,72,73,62,72,72,80,70,72,52,7,6,12,16,6
"3239","B. Parker",32,"South Africa",72,72,"Kaizer Chiefs",2500000,1000,0,1,4,3,1,170.18,64.8648,67,70,72,74,64,75,71,72,61,74,74,76,80,70,82,75,85,74,39,69,60,31,69,67,73,69,56,19,24,14,15,13,16,9
"3240","K. Omeruo",24,"Nigeria",72,79,"CD Legan¨¦s",3700000,45000,1,1,3,2,0,185.42,81.1944,47,22,71,63,27,53,24,23,60,60,67,75,65,72,56,54,88,74,82,31,76,68,34,34,35,70,65,73,69,9,8,16,7,15
"3241","G. Letizia",28,"Italy",72,72,"Benevento",2500000,4000,1,1,5,3,0,172.72,63.0504,69,36,54,63,28,67,58,37,68,65,92,85,83,69,86,50,75,82,71,49,64,69,55,49,45,69,67,70,70,15,8,9,15,9
"3242","D. Dessoleil",25,"Belgium",72,75,"Sporting de Charleroi",3300000,10000,0,1,3,2,0,187.96,78.9264,32,24,78,62,22,39,33,31,65,50,48,55,62,69,58,46,52,73,78,32,71,75,34,43,35,65,70,73,70,9,16,12,7,13
"3243","C. N<U+00F8>rgaard",24,"Denmark",72,79,"Fiorentina",3700000,27000,1,1,3,3,0,187.96,77.112,64,55,67,74,54,63,64,64,71,72,62,60,68,69,71,63,59,78,70,57,62,66,62,67,60,70,75,70,68,11,9,13,14,11
"3244","Manu Del Moral",34,"Spain",72,72,"Gimn¨¤stic de Tarragona",1600000,8000,1,2,4,3,1,185.42,77.112,74,76,59,70,59,72,69,59,67,74,68,73,70,64,52,80,67,31,73,73,28,28,71,66,80,63,35,35,25,15,16,8,9,13
"3245","A. Cordaz",35,"Italy",72,72,"Crotone",725000,2000,1,1,1,1,0,187.96,83.0088,12,10,16,12,10,18,10,15,17,20,25,27,28,72,29,15,32,16,54,15,22,7,8,34,16,69,12,10,10,68,70,62,72,74
"3246","J. Correa",25,"Argentina",72,75,"Clube Sport Mar¨ªtimo",3900000,8000,0,1,2,4,1,170.18,69.8544,63,63,46,70,67,75,65,64,67,74,77,73,76,71,85,78,55,78,54,74,49,36,67,71,54,72,17,26,21,7,12,12,15,7
"3247","M. Morishige",31,"Japan",72,72,"FC Tokyo",2100000,8000,1,1,3,2,0,182.88,76.2048,51,54,73,69,50,58,62,65,71,64,59,67,66,65,48,62,71,70,79,61,70,70,58,51,68,65,70,71,69,8,9,16,14,15
"3248","Bruno Tabata",21,"Brazil",72,81,"Portimonense SC",4800000,6000,0,1,2,4,1,175.26,67.1328,76,55,56,74,53,76,69,72,65,74,84,78,77,73,76,74,56,75,49,56,56,53,69,70,65,73,32,37,33,7,13,8,10,6
"3249","I. Mboyo",31,"Belgium",72,72,"KV Kortrijk",2800000,12000,1,1,3,3,1,185.42,82.1016,67,70,71,68,61,75,62,66,68,75,68,69,67,67,59,72,72,67,81,68,69,38,72,70,70,75,37,39,30,14,9,15,14,9
"3250","P. Kasami",26,"Switzerland",72,73,"FC Sion",3700000,22000,0,1,4,3,1,187.96,69.8544,66,60,62,73,65,73,56,62,70,75,62,70,55,74,53,84,59,81,79,72,75,67,67,74,63,64,40,64,56,8,12,9,8,6
"3251","S. Montoya",26,"Colombia",72,73,"Millonarios FC",3700000,4000,0,1,3,3,1,172.72,63.0504,67,66,46,71,61,73,63,61,67,71,76,78,79,69,76,68,68,62,38,64,56,42,68,72,65,71,48,29,27,13,15,13,11,11
"3252","T. Aoyama",32,"Japan",72,72,"Sanfrecce Hiroshima",2400000,10000,1,1,3,3,1,175.26,74.844,65,54,58,73,61,64,64,60,69,74,56,55,72,70,66,72,72,83,68,73,71,71,50,76,64,74,77,68,59,10,11,13,7,12
"3253","Jo<U+00E3>o F¨¦lix",18,"Portugal",72,88,"SL Benfica",6500000,5000,1,1,3,4,1,180.34,69.8544,69,64,58,70,67,78,72,51,67,77,77,80,84,70,78,72,78,73,60,68,51,38,62,72,53,73,28,42,35,13,12,14,13,14
"3254","H. Diallo",23,"Senegal",72,80,"FC Metz",4600000,6000,1,1,2,3,1,185.42,78.9264,35,75,78,59,65,69,49,36,42,67,72,69,66,66,67,68,71,66,81,56,47,19,72,61,72,65,13,17,17,13,14,14,15,12
"3255","Bruno Lamas",24,"Brazil",72,77,"Santa Clara",4200000,4000,0,1,3,3,1,175.26,69.8544,60,61,49,78,41,74,44,48,72,78,68,71,61,66,67,63,62,73,58,54,54,58,67,69,41,61,36,64,60,5,7,7,8,15
"3256","P. Gerkens",23,"Belgium",72,77,"RSC Anderlecht",4200000,13000,1,1,3,3,1,177.8,67.1328,70,73,77,72,64,66,57,50,71,72,55,64,69,74,72,71,53,86,59,69,58,68,76,72,47,73,61,66,63,12,10,10,9,13
"3257","G. Di Lorenzo",24,"Italy",72,76,"Empoli",3400000,9000,1,1,3,3,0,182.88,82.1016,74,48,68,69,50,68,66,58,62,69,69,69,71,69,65,68,71,72,73,54,69,70,59,44,45,66,71,73,71,8,10,8,10,7
"3258","S. Sam",30,"Germany",72,72,"VfL Bochum 1848",2900000,14000,0,2,3,3,1,175.26,68.04,70,65,63,68,76,71,76,68,64,73,77,74,81,74,76,73,70,65,47,69,72,39,73,69,64,67,41,37,29,11,13,16,14,8
"3259","B. Kayal",30,"Israel",72,72,"Brighton & Hove Albion",2900000,31000,1,1,3,3,1,177.8,73.9368,65,54,64,74,53,72,58,57,72,71,65,66,74,67,72,72,92,88,69,67,83,67,62,72,58,72,68,71,68,10,8,11,14,6
"3260","Wellington Nem",26,"Brazil",72,74,"Shakhtar Donetsk",3800000,1000,0,1,3,3,1,165.1,68.9472,68,58,48,75,63,73,53,73,64,75,80,83,81,70,86,66,55,70,59,64,36,40,65,65,66,63,33,36,30,10,9,12,10,13
"3261","A. Johansson",36,"Sweden",72,72,"IFK Norrk<U+00F6>ping",425000,4000,1,1,3,2,0,182.88,72.1224,36,44,60,69,54,57,57,56,70,69,33,33,55,71,57,66,76,57,76,53,75,76,42,67,64,77,76,71,64,15,8,15,9,11
"3262","Jon Bautista",22,"Spain",72,78,"Real Sociedad",4300000,18000,1,1,3,3,1,180.34,72.1224,47,78,73,69,69,70,50,57,41,72,61,58,62,69,69,75,67,56,52,77,40,16,73,52,70,64,25,22,16,9,11,9,11,13
"3263","E. Mulder",29,"Netherlands",72,73,"Swansea City",2400000,16000,1,1,3,1,0,193.04,87.9984,15,20,19,33,14,14,14,12,34,30,35,40,36,71,38,39,75,36,69,15,31,18,11,41,25,35,16,15,13,72,70,80,68,74
"3264","Isa¨ªas",31,"Spain",72,72,"Adelaide United",2100000,4000,1,1,3,3,0,172.72,71.2152,59,49,37,72,31,70,72,74,73,71,47,50,78,76,86,65,85,77,68,58,68,68,62,80,50,75,67,72,63,12,15,13,8,11
"3265","D. Bessa",25,"Italy",72,76,"Genoa",3900000,4000,1,1,4,4,1,177.8,74.844,69,64,50,76,64,75,70,69,74,77,75,57,83,70,81,76,52,61,49,79,45,45,74,77,59,72,48,49,46,6,14,12,12,14
"3266","K. Karaman",24,"Turkey",72,76,"Fortuna D¨¹sseldorf",4100000,18000,1,1,3,3,1,187.96,83.0088,69,72,68,71,56,74,45,28,53,75,73,71,74,69,66,74,80,72,69,70,64,22,72,63,56,52,24,24,18,6,12,13,8,15
"3267","A. Malarz",38,"Poland",72,72,"Legia Warszawa",210000,4000,1,1,3,1,0,187.96,86.184,33,12,16,56,15,29,13,21,45,33,25,22,21,75,43,19,35,27,44,14,39,22,13,56,35,61,12,21,24,71,64,62,73,75
"3268","C. Carbonero",27,"Colombia",72,72,"Deportivo Cali",3200000,3000,1,1,4,4,1,177.8,73.0296,68,64,48,76,62,74,71,61,74,77,72,78,75,66,76,75,42,60,70,78,53,65,71,76,63,71,30,37,32,12,7,11,10,16
"3269","Naranjo",23,"Spain",72,78,"CD Tenerife",4300000,7000,1,1,4,4,1,185.42,79.8336,69,73,63,68,58,75,67,64,64,74,77,80,75,67,57,70,68,52,70,71,39,14,70,66,66,71,18,23,17,10,12,15,14,7
"3270","J. Ruddy",31,"England",72,72,"Wolverhampton Wanderers",1900000,31000,1,2,3,1,0,193.04,97.0704,14,7,12,25,11,11,13,13,23,24,38,43,23,73,22,24,68,36,71,15,24,22,15,39,18,53,11,11,11,72,66,73,72,73
"3271","T. Barnetta",33,"Switzerland",72,72,"FC St. Gallen",1900000,12000,1,2,4,3,1,177.8,69.8544,78,60,50,79,58,69,76,73,71,70,57,65,66,71,73,71,64,51,60,74,53,58,70,77,70,67,55,52,51,12,9,8,15,15
"3272","A. J¨®hannsson",27,"United States",72,72,"SV Werder Bremen",3300000,21000,1,2,4,3,1,182.88,69.8544,44,73,69,70,67,74,59,46,71,73,72,68,68,70,65,73,67,62,64,69,50,27,72,67,78,71,46,25,21,15,15,10,13,7
"3273","M. Murillo",22,"Panama",72,80,"New York Red Bulls",3900000,5000,1,1,3,3,0,182.88,77.112,65,32,61,67,35,69,64,49,64,68,83,85,80,65,70,63,89,84,75,58,80,63,60,54,62,60,70,71,70,5,15,12,11,14
"3274","Patric",25,"Spain",72,75,"Lazio",3200000,26000,1,1,3,2,0,182.88,72.1224,65,49,69,72,25,60,46,48,55,70,67,64,64,68,57,63,67,69,66,57,62,74,55,62,51,67,73,76,74,8,14,12,9,14
"3275","O. El Hajjam",27,"Morocco",72,73,"Amiens SC",2900000,13000,1,1,3,2,0,180.34,73.0296,71,35,63,71,35,73,69,34,67,72,73,69,65,69,67,59,59,74,71,58,71,71,63,61,33,65,70,72,70,6,13,11,13,8
"3276","M. Lehmann",35,"Germany",72,72,"1. FC K<U+00F6>ln",725000,10000,1,2,3,2,0,177.8,74.844,64,58,64,72,56,61,70,70,69,69,34,32,63,69,65,72,75,70,71,67,75,76,58,68,76,70,71,72,71,12,14,16,11,13
"3277","F. Ceccherini",26,"Italy",72,77,"Fiorentina",3400000,32000,1,1,2,2,0,187.96,74.844,15,17,58,58,14,42,13,19,45,56,60,55,59,70,59,15,80,63,86,12,65,72,13,13,13,63,71,75,74,8,13,11,10,9
"3278","N. Aguirre",27,"Argentina",72,72,"Granada CF",3200000,8000,0,1,4,3,1,180.34,78.0192,68,67,62,73,57,74,75,75,68,74,73,68,71,69,63,82,45,77,77,74,77,60,71,69,71,66,68,63,71,7,12,8,9,14
"3279","R. Bauer",23,"Germany",72,76,"1. FC N¨¹rnberg",3400000,15000,1,1,2,2,0,182.88,76.2048,67,40,66,69,50,70,48,47,68,72,69,75,65,75,65,68,68,74,76,59,81,74,50,58,44,73,71,75,68,11,7,14,11,15
"3280","Ot¨¢vinho Vila",34,"Brazil",72,72,"Cruzeiro",950000,18000,1,1,4,2,0,175.26,74.844,62,41,67,72,34,52,51,52,71,55,63,66,66,72,63,61,71,90,67,45,56,74,55,73,61,81,76,70,77,7,13,10,15,7
"3281","A. Mendy",24,"France",72,77,"FC Girondins de Bordeaux",4200000,26000,1,1,3,2,1,182.88,86.184,33,74,68,65,62,62,60,36,40,68,66,68,64,69,55,80,73,68,90,64,59,29,71,52,73,65,16,17,17,16,12,14,16,9
"3282","D. Malen",19,"Netherlands",72,83,"PSV",5e+06,6000,1,1,3,4,1,177.8,78.0192,59,66,58,68,66,77,58,57,42,74,91,87,85,67,76,68,74,68,73,59,58,19,66,65,60,72,24,17,16,7,9,9,10,14
"3283","V. Granat",31,"Russia",72,72,"",0,0,0,1,3,2,0,182.88,78.9264,62,43,65,64,49,48,67,54,68,50,50,37,65,72,56,73,71,63,71,64,75,74,29,48,41,73,74,76,73,12,13,14,13,6
"3284","P. Ar¨¢nguiz",21,"Chile",72,81,"FC Dallas",4800000,5000,1,1,3,4,1,172.72,64.8648,58,64,39,69,51,75,59,72,67,76,69,82,82,61,74,68,50,82,46,65,56,29,64,76,52,72,40,34,45,11,7,8,15,15
"3285","Sandelas J¨²nior",26,"Brazil",72,72,"Santos",2700000,12000,0,1,3,2,0,182.88,78.0192,55,46,61,69,49,61,59,45,71,67,60,63,62,71,55,68,69,74,77,58,76,74,43,61,54,69,70,72,65,15,15,18,8,7
"3286","O. Hawsawi",34,"Saudi Arabia",72,72,"Al Wehda",950000,17000,1,2,3,2,0,187.96,83.0088,44,57,72,65,48,54,50,42,57,52,59,60,66,70,68,65,76,75,80,48,68,69,57,34,64,70,72,73,71,16,9,6,8,11
"3287","F. Silva",32,"Chile",72,72,"Independiente",2400000,15000,1,1,3,2,1,177.8,74.844,61,51,37,77,46,57,61,60,74,72,43,45,63,69,67,79,68,78,77,68,84,71,72,69,58,67,73,70,70,13,12,9,8,9
"3288","B. Carrasco",27,"Chile",72,72,"Tiburones Rojos de Veracruz",3300000,7000,1,1,3,3,1,172.72,69.8544,71,61,53,71,59,73,71,59,59,69,91,90,89,57,67,67,59,79,62,59,64,48,72,56,80,61,33,45,39,9,15,16,9,10
"3289","J. Schunke",31,"Argentina",72,72,"Estudiantes de La Plata",2100000,11000,1,1,3,2,0,193.04,84.8232,35,26,79,71,35,32,29,32,71,62,30,32,28,76,28,33,31,62,92,23,71,68,27,29,62,71,69,77,64,7,11,6,13,12
"3290","S. Ujkani",29,"Kosovo",72,72,"<U+00C7>aykur Rizespor",2100000,9000,1,1,2,1,0,187.96,87.0912,12,13,10,36,12,12,11,14,26,23,51,49,55,66,50,22,79,21,59,17,20,10,10,31,22,50,18,11,10,73,72,64,72,72
"3291","G. Castellani",30,"Argentina",72,72,"Atl¨¦tico Nacional",2900000,5000,1,1,3,4,1,182.88,74.844,70,63,68,77,61,75,77,72,73,74,67,71,70,70,72,80,59,69,80,74,79,66,68,72,72,74,75,48,36,12,13,7,14,11
"3292","L. Jim¨¦nez",34,"Chile",72,72,"CD Palestino",1600000,4000,1,2,4,3,1,182.88,74.844,75,55,51,78,74,71,81,75,70,78,65,67,65,70,74,73,62,54,64,65,67,51,61,80,74,79,45,35,30,11,12,6,12,15
"3293","Dener",26,"Brazil",72,74,"Portimonense SC",3700000,8000,1,1,2,3,1,185.42,76.2048,56,59,63,73,55,72,52,68,69,74,68,63,67,73,67,76,58,86,67,63,72,59,65,70,47,67,36,63,62,15,8,12,7,14
"3294","M. Flekken",25,"Netherlands",72,75,"SC Freiburg",2800000,12000,1,1,4,1,0,193.04,84.8232,14,16,11,27,14,12,19,12,28,34,28,36,34,64,38,21,54,28,61,11,32,12,14,35,23,24,15,13,20,72,71,66,70,74
"3295","Pedro Nuno",23,"Portugal",72,79,"Moreirense FC",4400000,5000,1,1,3,3,1,175.26,68.04,70,64,40,70,64,74,74,74,66,76,69,67,75,73,79,79,67,68,48,68,66,52,65,70,66,65,28,33,28,14,9,8,11,15
"3296","D. Kamada",21,"Japan",72,79,"Sint-Truidense VV",4500000,19000,1,1,4,3,1,182.88,73.0296,61,77,48,73,38,77,67,58,59,75,80,75,80,69,73,68,58,69,59,62,48,28,70,69,71,80,30,42,38,6,10,11,6,11
"3297","N. Bendtner",30,"Denmark",72,72,"Rosenborg BK",3e+06,7000,1,2,3,3,1,193.04,83.916,61,71,76,70,70,69,68,45,67,70,68,65,58,70,48,75,69,65,84,67,68,29,70,73,84,80,52,36,28,15,7,7,8,15
"3298","Lee Chang Min",24,"Korea Republic",72,77,"Jeju United FC",4100000,5000,1,1,4,3,1,177.8,73.9368,52,57,59,76,48,63,39,48,74,66,67,64,67,69,73,75,71,84,62,74,69,59,73,76,47,66,63,53,46,15,13,16,6,14
"3299","Jo<U+00E3>o Pedro",21,"Brazil",72,81,"FC Porto",4100000,6000,1,1,2,3,0,177.8,73.0296,73,49,56,68,36,73,71,46,62,71,78,77,77,71,66,39,66,77,62,35,64,67,66,56,49,56,71,71,68,10,13,9,12,13
"3300","M. Bakakis",27,"Greece",72,73,"AEK Athens",2900000,1000,1,1,4,3,0,175.26,64.8648,73,50,60,68,57,71,61,59,70,69,82,83,80,64,64,65,64,77,59,55,70,62,66,54,57,67,68,75,74,10,9,12,8,11
"3301","Zeng Cheng",31,"China PR",72,72,"Guangzhou Evergrande Taobao FC",1900000,10000,1,2,3,1,0,190.5,83.0088,18,11,11,23,11,13,13,15,45,25,30,36,31,72,44,11,55,41,37,11,40,27,13,64,18,62,16,11,11,72,69,70,73,72
"3302","M. James",26,"England",72,72,"Leicester City",3300000,41000,1,1,3,3,1,180.34,86.184,69,59,63,76,44,68,68,68,74,76,62,53,61,70,69,72,69,70,70,58,69,69,66,71,52,73,69,70,66,7,10,15,8,14
"3303","G. Vural",30,"Turkey",72,72,"Akhisar Belediyespor",2900000,13000,0,1,3,3,0,177.8,64.8648,75,64,65,66,69,74,77,70,61,76,82,83,78,71,77,78,75,82,50,72,71,65,66,51,68,66,64,68,64,8,9,16,6,13
"3304","M. P¨¦rez",27,"Colombia",72,72,"Deportes Tolima",3300000,4000,1,1,3,3,1,182.88,66.2256,72,72,67,66,57,69,62,69,63,66,77,84,77,68,65,79,77,71,75,67,67,21,72,67,67,69,42,20,18,7,9,16,8,7
"3305","T. Chery",30,"Netherlands",72,72,"Kayserispor",2900000,12000,0,1,3,3,1,170.18,73.9368,64,71,45,73,62,73,74,75,63,74,82,78,74,67,84,81,89,72,65,75,59,36,64,68,72,66,23,27,25,10,16,6,9,12
"3306","D. Mili<U+0107>evi<U+0107>",32,"Bosnia Herzegovina",72,72,"KAS Eupen",2400000,10000,1,1,4,3,1,172.72,63.0504,75,66,41,73,74,70,79,79,74,72,67,65,75,63,80,74,59,55,46,76,39,45,72,75,66,77,31,32,36,11,10,15,8,7
"3307","G. McAuley",38,"Northern Ireland",72,72,"Rangers FC",425000,23000,1,2,3,2,0,190.5,88.9056,49,47,82,52,23,27,39,33,50,60,27,30,33,71,33,44,72,33,76,30,76,72,45,52,49,67,75,72,69,6,11,12,10,13
"3308","M. Barrow",25,"Gambia",72,73,"Reading",3700000,25000,0,1,2,3,1,175.26,63.0504,61,69,47,63,61,75,53,55,61,66,94,93,89,72,84,70,52,63,49,63,49,50,71,67,58,73,28,36,34,11,12,13,12,7
"3309","A. Scholz",25,"Denmark",72,76,"FC Midtjylland",3400000,14000,1,1,3,2,0,187.96,83.916,48,47,70,69,57,57,32,35,64,64,55,54,56,67,59,58,57,67,79,52,76,73,57,62,33,75,71,72,73,14,6,10,11,7
"3310","Timo Triano",34,"Brazil",72,72,"Botafogo",950000,15000,1,1,3,2,0,175.26,76.2048,56,45,55,76,21,68,29,61,67,59,52,51,51,72,76,54,70,66,67,45,64,73,29,75,59,69,77,77,73,14,11,11,10,15
"3311","A. Elmohamady",30,"Egypt",72,72,"Aston Villa",2200000,14000,1,2,3,3,0,182.88,78.0192,72,61,72,73,60,68,76,69,69,72,76,76,72,72,63,70,81,86,72,66,59,71,69,67,59,68,62,66,61,14,7,9,10,7
"3312","Lucas Piazon",24,"Brazil",72,77,"Chelsea",4200000,55000,1,1,4,3,1,182.88,73.0296,71,73,53,75,74,72,75,73,68,77,70,69,72,70,69,70,39,66,55,70,44,31,71,72,73,79,27,32,47,10,7,8,10,14
"3313","C. Baeza",24,"Chile",72,78,"Colo-Colo",4200000,6000,1,1,3,3,1,170.18,63.9576,62,66,67,73,48,71,50,68,73,73,72,73,71,69,80,71,73,81,72,69,61,71,63,67,61,68,62,69,68,16,15,12,13,9
"3314","Kim Min Jae",21,"Korea Republic",72,79,"Jeonbuk Hyundai Motors",3800000,6000,1,1,2,2,0,187.96,87.9984,25,23,74,59,24,34,21,23,59,47,71,71,67,68,65,44,68,68,84,37,78,73,37,56,30,64,64,73,71,13,7,11,14,11
"3315","F¨¢bio Pacheco",30,"Portugal",72,72,"Moreirense FC",2300000,5000,1,1,3,2,0,180.34,73.0296,51,45,57,71,48,60,49,58,67,65,66,69,65,75,71,69,78,74,68,64,83,74,53,57,44,70,72,74,69,12,12,10,15,16
"3316","A. Maher",24,"Netherlands",72,75,"AZ Alkmaar",3900000,10000,1,2,3,3,1,175.26,76.2048,73,64,46,72,73,72,76,75,73,78,70,73,78,74,81,74,53,69,44,70,59,60,69,73,59,67,63,56,52,15,7,7,11,8
"3317","J. Akpa Akpro",25,"Ivory Coast",72,75,"US Salernitana 1919",3800000,4000,1,1,3,3,1,180.34,71.2152,76,65,65,75,68,71,66,56,66,71,77,81,77,71,71,75,70,84,57,69,81,71,69,68,56,71,63,74,69,7,10,9,9,8
"3318","M. Frey",23,"Switzerland",72,78,"Fenerbah<U+00E7>e SK",4300000,38000,1,1,3,3,1,187.96,88.9056,45,76,70,63,54,64,59,35,57,72,64,66,60,63,49,76,71,80,93,64,85,26,75,62,62,73,35,20,16,10,14,7,16,14
"3319","S. Vittor",29,"Argentina",72,73,"CD Universidad de Concepci¨®n",2700000,14000,1,1,3,2,0,187.96,86.184,59,52,75,71,55,66,48,51,68,67,58,56,52,69,37,75,48,73,86,65,72,67,61,51,62,61,71,72,70,9,13,14,9,16
"3320","Romarinho",27,"Brazil",72,72,"Al Ittihad",3300000,28000,1,1,3,4,1,175.26,68.9472,63,70,64,70,64,78,67,71,63,74,86,85,87,70,84,67,54,74,53,62,32,28,73,65,66,66,30,22,23,15,14,12,9,10
"3321","B. Srarfi",21,"Tunisia",72,80,"OGC Nice",4600000,18000,0,1,3,4,1,175.26,71.2152,70,70,56,72,65,79,65,59,65,75,79,78,80,59,68,69,55,59,55,69,36,29,65,70,66,64,30,30,29,9,6,13,7,11
"3322","D. Khocholava",25,"Georgia",72,75,"Shakhtar Donetsk",3300000,1000,1,1,3,2,0,193.04,87.9984,31,51,75,67,23,56,27,21,65,54,64,55,49,63,41,72,65,67,86,25,74,69,44,36,39,63,68,70,73,10,9,7,9,5
"3323","C. Puggioni",37,"Italy",72,72,"Benevento",210000,2000,1,1,2,1,0,187.96,81.1944,14,18,15,35,15,20,13,25,23,20,44,34,68,64,42,19,74,34,66,15,29,20,11,36,21,55,23,14,12,73,73,59,70,74
"3324","T. Necid",28,"Czech Republic",72,72,"ADO Den Haag",3200000,9000,1,2,3,3,1,190.5,83.916,47,69,77,64,69,64,56,60,48,67,65,67,57,72,54,76,65,67,80,67,71,25,76,68,78,68,30,32,31,12,12,7,9,10
"3325","T. Lees",27,"England",72,73,"Sheffield Wednesday",2900000,19000,1,1,2,2,0,185.42,73.0296,53,36,71,64,20,59,33,20,60,63,59,62,61,66,68,38,83,65,80,35,68,69,38,56,42,70,74,72,70,13,14,14,9,15
"3326","L. Castro",29,"Colombia",72,72,"Kaizer Chiefs",3100000,1000,1,1,4,3,1,182.88,79.8336,53,76,65,74,63,65,45,32,57,65,70,72,62,67,62,69,54,67,75,68,47,18,76,67,51,69,39,25,27,9,8,13,10,15
"3327","P. Ciss¨¦",22,"Senegal",72,82,"Olympiacos CFP",4400000,1000,1,1,2,2,0,198.12,89.8128,27,23,73,60,33,38,29,33,52,44,64,70,53,58,38,55,78,70,86,27,77,66,39,30,38,55,73,76,69,14,16,9,15,13
"3328","Pimentiscinho",30,"Brazil",72,72,"Vit¨®ria",2300000,10000,0,1,3,2,0,177.8,74.844,67,55,67,73,44,63,49,61,77,71,67,66,73,66,72,51,56,67,61,57,67,71,67,66,54,71,75,73,72,9,13,15,7,16
"3329","E. Stevens",27,"Republic of Ireland",72,72,"Sheffield United",2600000,10000,0,1,2,3,0,182.88,78.0192,73,36,54,66,24,65,66,53,51,69,71,71,67,71,66,57,64,80,66,34,64,68,57,57,52,65,71,74,66,9,16,8,7,15
"3330","Aitor",27,"Spain",72,75,"Levante UD",2600000,12000,1,1,2,1,0,182.88,78.0192,30,12,20,21,15,22,34,14,22,14,58,53,70,64,48,32,82,42,48,12,15,24,15,45,24,50,14,13,12,75,69,65,75,71
"3331","I. Hayden",23,"England",72,79,"Newcastle United",3700000,25000,1,1,4,2,0,185.42,78.9264,43,48,65,73,33,65,45,38,68,72,55,64,57,67,60,62,68,70,73,56,79,68,53,65,49,63,70,72,70,9,15,8,8,12
"3332","R. Strieder",25,"Germany",72,75,"FC Utrecht",3300000,12000,1,1,3,2,0,175.26,68.04,57,32,54,74,48,61,58,53,72,70,60,53,73,69,73,59,64,85,60,37,65,75,44,67,55,70,72,68,68,7,14,10,12,12
"3333","R. Noir",31,"Argentina",72,72,"Atl¨¦tico Tucum¨¢n",2700000,15000,1,1,3,3,1,175.26,64.8648,71,70,66,67,66,72,72,47,61,68,83,82,79,69,78,71,69,78,71,69,65,57,70,69,61,68,33,38,41,8,10,10,6,12
"3334","Juankar",28,"Spain",72,72,"M¨¢laga CF",2500000,8000,0,1,2,3,0,177.8,69.8544,76,55,57,74,80,69,74,50,69,75,73,74,75,78,69,69,68,72,63,64,76,69,67,55,55,74,67,67,69,10,9,11,8,6
"3335","Brandon Thomas",23,"Spain",72,79,"CA Osasuna",4400000,21000,1,1,3,3,1,172.72,71.2152,59,73,59,63,67,77,64,54,56,70,77,75,86,73,89,72,74,81,60,69,39,42,76,67,69,66,23,26,27,8,9,7,14,16
"3336","J. Bijlow",20,"Netherlands",72,82,"Feyenoord",3900000,5000,1,1,2,1,0,190.5,73.0296,10,10,11,33,10,11,10,10,44,21,44,43,32,69,30,23,67,30,71,10,22,10,10,57,16,52,14,12,14,75,67,76,67,75
"3337","H. Wilson",21,"Wales",72,84,"Derby County",5500000,48000,0,1,3,3,1,172.72,69.8544,68,68,47,70,59,73,72,77,59,73,82,76,78,68,84,73,45,67,47,76,31,25,71,72,61,60,47,41,36,7,13,9,15,7
"3338","A. Gonz¨¢lez",24,"Argentina",72,77,"Godoy Cruz",4200000,11000,1,1,3,3,1,170.18,69.8544,64,69,46,68,44,76,51,38,60,70,84,83,84,68,75,73,57,73,61,57,48,47,75,67,52,64,44,38,31,9,10,15,10,16
